iter	RMSE
0	30.24398253
1	29.24688697
2	28.25709145
3	27.30941332
4	26.4519846
5	25.602565
6	24.86328512
7	24.12871483
8	23.43073965
9	22.80082628
10	22.20999469
11	21.64783801
12	21.09169059
13	20.6129856
14	20.16549361
15	19.7749495
16	19.36479545
17	19.00376136
18	18.65313643
19	18.3295206
20	18.0044876
21	17.70810674
22	17.42506392
23	17.15369554
24	16.92005372
25	16.69785166
26	16.48645005
27	16.31406815
28	16.12931116
29	15.96854378
30	15.83158764
31	15.69097068
32	15.56884311
33	15.43979285
34	15.31009559
35	15.19265559
36	15.09855507
37	15.01471348
38	14.92166632
39	14.83270401
40	14.75649401
41	14.69039676
42	14.63146824
43	14.56296387
44	14.49075075
45	14.4234118
46	14.38039134
47	14.31880855
48	14.27138143
49	14.21494306
50	14.17775562
51	14.12220698
52	14.09042745
53	14.04810222
54	14.00556772
55	13.96798468
56	13.92906244
57	13.89539504
58	13.85948477
59	13.82652012
60	13.78787342
61	13.76007745
62	13.73855443
63	13.71177569
64	13.67264416
65	13.64034411
66	13.60836591
67	13.57965652
68	13.54343387
69	13.51659352
70	13.48761677
71	13.46149806
72	13.43692769
73	13.41302322
74	13.39150397
75	13.37412174
76	13.35736074
77	13.34315816
78	13.31833829
79	13.30562455
80	13.288246
81	13.2715333
82	13.24617161
83	13.2281983
84	13.20677857
85	13.1869992
86	13.16956898
87	13.15703589
88	13.13233879
89	13.11288075
90	13.10483546
91	13.08566189
92	13.05749352
93	13.03180403
94	13.01631942
95	12.99802228
96	12.9726558
97	12.95902814
98	12.9412688
99	12.92137234
100	12.90058741
101	12.89006479
102	12.87627694
103	12.85898348
104	12.84326713
105	12.83249178
106	12.82325194
107	12.80745621
108	12.79291181
109	12.78899132
110	12.77335644
111	12.75229062
112	12.73520782
113	12.72570588
114	12.71305087
115	12.70183801
116	12.69040259
117	12.68535153
118	12.67994789
119	12.6602365
120	12.64104714
121	12.63272524
122	12.62486049
123	12.61102263
124	12.59650025
125	12.58369132
126	12.56489377
127	12.55019241
128	12.53919327
129	12.52606107
130	12.50274784
131	12.49417367
132	12.47760143
133	12.46244802
134	12.44110713
135	12.42872656
136	12.41500738
137	12.40225682
138	12.3969092
139	12.38746804
140	12.37407699
141	12.36155872
142	12.34768955
143	12.33056409
144	12.31868606
145	12.30812886
146	12.29835274
147	12.28452535
148	12.27146441
149	12.25889127
150	12.24673437
151	12.23979166
152	12.23562217
153	12.22634598
154	12.21533196
155	12.1984652
156	12.18601423
157	12.16850989
158	12.15876048
159	12.15291494
160	12.13965277
161	12.13032683
162	12.12087393
163	12.10943315
164	12.09932397
165	12.09152619
166	12.08183359
167	12.06844087
168	12.05482356
169	12.04284684
170	12.03111399
171	12.01829142
172	12.01012207
173	11.99954575
174	11.9922182
175	11.97858259
176	11.97002161
177	11.96209062
178	11.95164608
179	11.94019318
180	11.92631497
181	11.91887257
182	11.91231061
183	11.90279483
184	11.89278282
185	11.87760765
186	11.87180128
187	11.86439599
188	11.85612783
189	11.84087646
190	11.8332061
191	11.82563806
192	11.81258443
193	11.80629517
194	11.80181194
195	11.78819096
196	11.78124241
197	11.7659897
198	11.75822964
199	11.75181269
