iter	Passed	Remaining
0	1	383
1	3	376
2	5	367
3	7	354
4	8	337
5	10	333
6	11	325
7	13	325
8	15	325
9	17	329
10	19	329
11	20	326
12	22	323
13	24	322
14	25	319
15	27	316
16	29	316
17	30	312
18	32	308
19	34	306
20	35	303
21	37	300
22	38	298
23	40	296
24	42	294
25	43	291
26	45	289
27	46	287
28	48	283
29	49	281
30	51	278
31	52	276
32	54	273
33	55	271
34	56	268
35	58	266
36	60	265
37	61	262
38	63	260
39	64	257
40	65	255
41	67	253
42	68	251
43	70	248
44	71	246
45	72	243
46	74	241
47	75	240
48	77	238
49	78	236
50	80	234
51	81	232
52	82	230
53	84	228
54	85	226
55	87	224
56	88	222
57	89	220
58	91	218
59	93	217
60	94	215
61	96	214
62	97	212
63	99	211
64	100	209
65	102	207
66	103	206
67	105	204
68	106	203
69	108	201
70	109	199
71	111	197
72	112	195
73	114	194
74	115	192
75	116	190
76	118	188
77	119	187
78	121	185
79	123	184
80	124	183
81	126	181
82	127	180
83	129	178
84	130	176
85	132	175
86	133	173
87	134	171
88	136	170
89	138	168
90	139	167
91	141	165
92	142	164
93	144	162
94	146	161
95	147	160
96	149	158
97	150	156
98	152	155
99	153	153
100	155	152
101	157	150
102	158	149
103	160	147
104	161	146
105	163	144
106	164	143
107	166	141
108	167	139
109	169	138
110	170	136
111	172	135
112	173	133
113	175	132
114	176	130
115	178	128
116	179	127
117	180	125
118	182	124
119	183	122
120	185	121
121	186	119
122	188	117
123	190	116
124	191	114
125	192	113
126	194	111
127	195	110
128	197	108
129	198	106
130	200	105
131	201	103
132	203	102
133	204	100
134	205	99
135	207	97
136	208	95
137	209	94
138	211	92
139	212	91
140	213	89
141	215	87
142	216	86
143	218	84
144	219	83
145	221	81
146	222	80
147	223	78
148	225	77
149	226	75
150	228	74
151	229	72
152	231	70
153	232	69
154	234	67
155	235	66
156	237	64
157	238	63
158	240	61
159	241	60
160	243	58
161	244	57
162	245	55
163	247	54
164	248	52
165	250	51
166	252	49
167	253	48
168	254	46
169	256	45
170	257	43
171	259	42
172	260	40
173	261	39
174	263	37
175	264	36
176	266	34
177	267	33
178	269	31
179	270	30
180	272	28
181	273	27
182	275	25
183	276	24
184	277	22
185	279	21
186	280	19
187	282	18
188	283	16
189	284	14
190	286	13
191	287	11
192	289	10
193	290	8
194	292	7
195	294	6
196	296	4
197	297	3
198	298	1
199	301	0
